City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
80,Kavaratti,11,IN,1619822618,75,10.5669,72.642,83.84,8.16
81,Wanxian,3,CN,1619822618,79,30.8039,108.3897,71.71,2.8
82,Yar-Sale,89,RU,1619822618,95,66.8333,70.8333,15.46,9.78
83,Kharabali,100,RU,1619822619,95,47.4196,47.2568,54.0,12.44
84,Saint-Joseph,23,RE,1619822619,73,-21.3667,55.6167,77.0,5.75
85,Nabire,48,ID,1619822619,80,-3.3667,135.4833,79.27,2.46
86,Dikson,88,RU,1619822620,96,73.5069,80.5464,7.03,9.69
87,Lompoc,40,US,1619822398,67,34.6391,-120.4579,69.01,11.5
88,Leh,73,IN,1619822620,49,34.1667,77.5833,37.58,1.39
89,Padang,40,ID,1619822405,100,-0.9492,100.3543,75.2,1.14
90,Codrington,100,AU,1619822620,46,-38.2667,141.9667,63.63,12.44
91,San Vicente,2,AR,1619822621,58,-26.6167,-54.1333,59.11,2.35
92,Sioux Lookout,40,CA,1619822535,24,50.1001,-91.917,53.6,10.36
93,Wamba,100,NG,1619822621,49,8.9333,8.6,83.64,0.49
94,Kapaa,90,US,1619822622,65,22.0752,-159.319,78.8,13.8
95,Nikolskoye,0,RU,1619822622,75,59.7035,30.7861,33.8,2.24
96,Yellowknife,90,CA,1619822623,80,62.456,-114.3525,35.01,11.5
97,Volosovo,0,RU,1619822623,75,59.4333,29.4833,33.8,2.24
98,Bredasdorp,0,ZA,1619822623,87,-34.5322,20.0403,44.6,2.3
99,Lesosibirsk,6,RU,1619822623,94,58.2358,92.4828,36.12,6.42
100,Rabat,40,MA,1619822624,100,33.9911,-6.8401,57.99,4.61
101,Olinda,40,BR,1619822624,69,-8.0089,-34.8553,78.8,12.66
102,Saint-Philippe,40,RE,1619822625,73,-21.3585,55.7679,77.0,5.75
103,Ushtobe,100,KZ,1619822625,74,45.2514,77.9838,54.97,16.71
104,Killybegs,60,IE,1619822625,74,54.6333,-8.45,41.14,6.89
105,Springdale,1,US,1619822374,34,36.1867,-94.1288,78.8,1.97
106,Rosetta,0,EG,1619822626,56,31.4044,30.4164,69.8,3.44
107,Miraflores,75,MX,1619822626,46,19.2167,-98.8083,77.0,13.8
108,Biryukove,0,UA,1619822627,94,47.9563,39.7384,53.6,2.24
109,Dingle,98,PH,1619822627,73,10.9995,122.6711,79.61,5.32
110,Barnstaple,51,GB,1619822627,84,51.0802,-4.0581,42.01,5.12
111,Kieta,63,PG,1619822627,74,-6.2167,155.6333,83.3,4.29
112,Wattegama,20,LK,1619822628,100,6.7989,81.4808,75.2,1.14
113,Kailua,90,US,1619822628,65,21.4022,-157.7394,82.4,12.66
114,Jiwani,98,PK,1619822628,50,25.05,61.7417,85.44,8.3
115,South Kazakhstan Region,9,KZ,1619822629,45,43.0,68.0,57.69,11.05
116,Linhares,54,BR,1619822629,75,-19.3911,-40.0722,70.97,7.4
117,Ghanzi,16,BW,1619822629,43,-21.5667,21.7833,62.1,11.81
118,Maniitsoq,20,GL,1619822630,76,65.4167,-52.9,35.02,3.6
119,Iqaluit,90,CA,1619822630,75,63.7506,-68.5145,35.6,16.11
120,Dzhebariki-Khaya,100,RU,1619822630,97,62.2167,135.8,34.63,1.92
121,Cutro,99,IT,1619822631,42,39.0353,16.9819,70.0,8.52
122,Saint George,1,US,1619822504,9,37.1041,-113.5841,93.0,10.36
123,Teya,100,RU,1619822631,91,60.3778,92.6267,35.78,12.62
124,Krasnosel'kup,100,RU,1619822631,92,65.7,82.4667,31.39,12.77
